video,utt.num,time.coder1,time.coder2,time.coder3,time.agg,time.agg.adj,utt,objects.present,objects.referred,mom.eyes,mom.hands,kid.hands,kid.eyes,mom.point
A16,241,1059,1059,1059,1059,661,do you have two pieces,cheese pepperoni,cheese,,,,,
A16,242,1061,1060,1060,1060,662,theres the other cheese,cheese pepperoni,cheese,,,cheese,cheese,
A16,243,1062,1062,1062,1062,664,mmmm,cheese pepperoni,,cheese,,cheese,cheese,
A16,244,1063,1063,1063,1063,665,wheres the pepperoni,cheese,pepperoni,,,,,
A16,245,1064,1065,1065,1065,667,ha,cheese,pepperoni,,,,,
A16,246,1065,1065,1065,1065,667,oh youre shaking it,cheese,,,,,,
A16,247,1066,1066,1066,1066,668,what about the tomato,cheese pepperoni,,,,,,
A16,248,1067,1067,1067,1067,669,that didnt want to come out did it,cheese,,,,,,
A16,249,1068,1068,1068,1068,670,oh there,cheese,,cheese,,cheese,,
A16,250,1069,1069,1069,1069,671,everythings out huh,cheese pepperoni,,cheese,cheese,cheese,,
A16,251,1072,1072,1072,1072,674,yeah em,cheese pepperoni,,cheese,cheese,cheese,,
A16,252,1073,1073,1073,1073,675,yeah,cheese pepperoni,,cheese,cheese,cheese,,
A16,253,1076,1076,1076,1076,678,ha,cheese pepperoni,,,,,,
A16,254,1081,1081,1081,1081,683,okay,,,,,,,
A16,255,1082,1082,1082,1082,684,put the top on,,,,,,,
A16,256,1085,1083,1083,1083,685,good girl,,,,,,,
A16,257,1091,1090,1090,1090,692,lets put all of your  stuff back,cheese pepperoni box brush,cheese pepperoni,,,,,
